Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
1052 Kapplandsgatan 48                1052                                                                 316997,00   6396207,00      57,6708389390      11,9314585184
1053 Spannlandsgatan 9                1053 Vändplats                                                       317093,00   6396423,00      57,6728000000      11,9329000000
1054 Högsbogatan 40                   1054 Serviceresor                                                    316928,00   6396320,00      57,6718244392      11,9302177028
1055 Bankogatan 12                    1055                                                                 316925,00   6396097,00      57,6698000000      11,9303000000
1056 Markmyntsgatan 14.A              1056 Högsbotorpshemmet/VC                                            316810,00   6396112,00      57,6699000000      11,9284000000
1057 Skäpplandsgatan 21               1057                                                                 317090,00   6396689,00      57,6752000000      11,9327000000
1060 Axel Dahlströms Torg             1060 Fr.Markmyntsgatan                                               316765,00   6396209,00      57,6707625503      11,9275731934
1061 Bankogatan 9                     1061                                                                 316625,00   6396210,00      57,6707145426      11,9252288535
1062 Bankogatan 23                    1062                                                                 316708,00   6395982,00      57,6687000000      11,9268000000
1063 Riksdalersgatan 38               1063                                                                 316506,00   6396135,00      57,6699934099      11,9232938769
1064 Riksdalersgatan 22               1064                                                                 316535,00   6396269,00      57,6712070808      11,9236774785
1065 Sterlingsgatan 2.A               1065                                                                 316487,00   6396429,00      57,6726227234      11,9227522819
1066 Riksdalersgatan 3.C              1066                                                                 316425,00   6396598,00      57,6741132710      11,9215857671
1067 Plåtmyntsgatan 17                1067                                                                 316708,00   6396558,00      57,6738697390      11,9263539977
1068 Silvermyntsgatan 7               1068                                                                 316819,00   6396600,00      57,6742916370      11,9281803800
1069 Örtugsgatan 1                    1069                                                                 316621,00   6396591,00      57,6741303470      11,9248723700
1070 Svaleboskogen 7                  1070 Ädreboende Svaleboskogen                                        316540,00   6396869,00      57,6765908374      11,9233049258
1071 Pennygången 68                   1071 Taxificka C                                                     316098,00   6396669,00      57,6746166519      11,9160570891
1073 Pennygången 8                    1073 Taxificka G                                                     315899,00   6396630,00      57,6741856075      11,9127552961
1074 Fyrktorget Hpl                   1074 Läge B                                                          315865,00   6396543,00      57,6733913436      11,9122525202
1075 Växelmyntsgatan 25               1075                                                                 315861,00   6396303,00      57,6712370210      11,9123685693
1076 Pennygången 96                   1076 Taxificka E                                                     316236,00   6396612,00      57,6741617369      11,9184109048
1080 Marklandsgatan Hpl               1080 Läge C                                                          317295,00   6396588,00      57,6743773868      11,9361585930
1081 Högsboleden                      1081 Läge B                                                          317247,00   6396474,00      57,6733353081      11,9354413462
1082 Marklandsgatan 39                1082                                                                 317303,00   6396221,00      57,6710887127      11,9365703710
1083 Högsbo Hpl                       1083 Läge B, Marklandsgatan 59                                       317319,00   6396050,00      57,6695614316      11,9369677372
1085 Botaniska Trädgården             1085 Huvudentrén                                                     318166,00   6397545,00      57,6833139520      11,9500195523
Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
------------------------------ ----------- ------------------------------------------------------------ ------------ ------------ ------------------ ------------------
1086 Botaniska Tr.Hpl                 1086 Läge C - Mot frölunda                                           317881,00   6397288,00      57,6808935469      11,9454409471
1202 Mandolingatan 31                 1202                                                                 315870,00   6394482,00      57,6549072567      11,9139079471
1203 Mandolingatan 19                 1203                                                                 315978,00   6394636,00      57,6563326612      11,9155976943
1801 Backaplan Coop                   1801 Huvudingång                                                     318543,00   6402070,00      57,7241000000      11,9529000000
1802 Backaplan KappAhl                1802                                                                 318444,00   6401914,00      57,7226150952      11,9513812252
1803 Backaplan Rusta                  1803 Deltavägen 4                                                    318496,00   6402161,00      57,7249000000      11,9521000000
1804 Backaplan ÖoB                    1804 Fr.Gästgivaregatan                                              318283,00   6402148,00      57,7246000000      11,9485000000
363 Befälsgatan 9                      363                                                                 322977,00   6403768,00      57,7410542079      12,0260135346
364 Beväringsgatan 13                  364                                                                 323037,00   6403598,00      57,7395528440      12,0271451644
365 Alivallsgatan 1                    365 Äldreboende Kviberg                                             322900,00   6403284,00      57,7366822108      12,0250787190
366 Kvibergs Kyrkogård                 366 Blomsterhandeln                                                 322754,00   6403220,00      57,7360505613      12,0226771908
367 Fanjunkaregatan 2.H                367                                                                 322811,00   6402980,00      57,7339201587      12,0238100647
